Settlement Date,Settlement Period,System Sell Price(£/MWh),System Buy Price(£/MWh),Net Imbalance Volume(MWh)
18/11/2013,1,34.53536,51.63,-165.9605
18/11/2013,2,34.80221,53.77,-191.2912
18/11/2013,3,34.65394,42.97,-169.4609
18/11/2013,4,34.26568,40.22,-289.4964
18/11/2013,5,34.06553,41.29,-286.7146
18/11/2013,6,32.10704,40.77,-356.5433
18/11/2013,7,32.71298,34.56,-313.3728
18/11/2013,8,32.85884,34.27,-240.1786
18/11/2013,9,32.75171,34.25,-179.9947
18/11/2013,10,32.52859,33.7,-347.7387
18/11/2013,11,33.37795,41.52,-290.6172
18/11/2013,12,34.04338,42.03,-370.0953
18/11/2013,13,35.96256,52.53,-123.8246
18/11/2013,14,37.14363,50.93,-255.2638
18/11/2013,15,53.57,64.5424,433.0107
18/11/2013,16,60.52,74.28837,417.5382
18/11/2013,17,63.55,72.41744,104.0253
18/11/2013,18,67.18,73.27942,94.1646
18/11/2013,19,72.4544,72.4544,66.9521
18/11/2013,20,74.04,75.52,105.4905
18/11/2013,21,41.99949,71.53,-293.6427
18/11/2013,22,41.34188,71.1,-217.7936
18/11/2013,23,41.24292,65.13,-285.4855
18/11/2013,24,41.49538,62.42,-445.8214
18/11/2013,25,41.18713,60.38,-689.0433
18/11/2013,26,41.16817,58.04,-729.1097
18/11/2013,27,41.60395,56.72,-501.0706
18/11/2013,28,41.4232,53.24,-610.9761
18/11/2013,29,41.49672,49.9,-505.0473
18/11/2013,30,41.37789,49.2,-642.4285
18/11/2013,31,41.1414,48.66,-827.7577
18/11/2013,32,41.13429,48.19,-907.4268
18/11/2013,33,41.14093,53.59,-1025.0445
18/11/2013,34,41.36622,77.52,-627.4765
18/11/2013,35,41.60793,92.37,-616.9974
18/11/2013,36,41.32385,87.14,-987.6515
18/11/2013,37,41.52882,72.2,-675.7269
18/11/2013,38,41.28348,64.09,-704.2774
18/11/2013,39,41.36764,55.42,-393.2763
18/11/2013,40,41.50738,54.8,-249.8081
18/11/2013,41,41.54367,54.33,-307.2426
18/11/2013,42,41.40935,54.42,-541.6684
18/11/2013,43,41.28513,52.85,-505.1064
18/11/2013,44,40.90336,52.43,-615.2006
18/11/2013,45,40.78622,51.52,-636.7068
18/11/2013,46,38.16469,50.3,-813.1606
18/11/2013,47,31.88819,47.42,-937.3795
18/11/2013,48,32.15763,43.71,-772.5208
19/11/2013,1,31.63742,41.54,-801.9272
19/11/2013,2,32.45945,40.68,-554.6131
19/11/2013,3,32.17847,37.05,-518.6347
19/11/2013,4,31.00982,32.97,-675.64
19/11/2013,5,30.35334,31.52,-893.9849
19/11/2013,6,30.65346,31.75,-630.7467
19/11/2013,7,30.40182,32.2,-641.2052
19/11/2013,8,30.17863,31.52,-701.9534
19/11/2013,9,31.33393,31.68,-419.123
19/11/2013,10,31.38209,31.55,-400.3336
19/11/2013,11,32.77272,32.84,-444.9698
19/11/2013,12,32.76577,36.31,-541.5574
19/11/2013,13,35.6842,45.33,-234.5649
19/11/2013,14,39.56696,47.97,-268.8106
19/11/2013,15,54.39,59.50339,158.1965
19/11/2013,16,41.32481,52.92,-202.7994
19/11/2013,17,41.28292,52.8,-163.2415
19/11/2013,18,40.7383,51.32,-549.2829
19/11/2013,19,41.11937,50.63,-603.6666
19/11/2013,20,41.27487,50.11,-312.9512
19/11/2013,21,41.59802,49.45,-65.3864
19/11/2013,22,41.65632,48.82,-132.8341
19/11/2013,23,40.93381,48.2,-186.4861
19/11/2013,24,40.78904,48.53,-285.948
19/11/2013,25,41.2639,49.23,-203.3502
19/11/2013,26,41.34248,48.19,-462.7681
19/11/2013,27,41.48691,48.67,-343.1538
19/11/2013,28,41.27891,48.71,-565.5249
19/11/2013,29,41.32367,48.43,-513.4807
19/11/2013,30,41.12739,47.58,-711.5278
19/11/2013,31,41.28101,53.99,-515.1383
19/11/2013,32,41.29225,53.12,-321.1232
19/11/2013,33,41.76411,58.74,-437.6886
19/11/2013,34,43.17553,74.41,-132.8141
19/11/2013,35,41.81914,69.87,-513.9605
19/11/2013,36,41.34434,66.15,-708.2366
19/11/2013,37,41.97309,64.98,-526.8622
19/11/2013,38,41.11694,63.8,-409.2688
19/11/2013,39,41.12126,54.11,-216.9183
19/11/2013,40,41.63935,53.79,-41.8075
19/11/2013,41,41.46418,53.25,-104.8276
19/11/2013,42,41.61291,52.64,-163.7601
19/11/2013,43,51.12,63.45,214.2937
19/11/2013,44,50.19,63.45,20.2224
19/11/2013,45,42.31145,49.99,-4.7785
19/11/2013,46,40.97048,49.2,-155.4027
19/11/2013,47,46.29,61.63161,97.9379
19/11/2013,48,39.86329,40.28,-160.0588
20/11/2013,1,39.75,39.75,-239.9765
20/11/2013,2,39.75,39.75,-181.1796
20/11/2013,3,39.80822,39.80822,-120.8211
20/11/2013,4,39.30667,39.30667,-252.7243
20/11/2013,5,38.12597,38.12597,-294.2842
20/11/2013,6,39.75,39.75,-180.4344
